,date,home_team,home_goals_offense,home_goals_defense,home_offense,home_in_game,home_defense,away_team,away_goals_offense,away_goals_defense,away_offense,away_in_game,away_defense,result
48,2010-09-26,Santander,0.64,1.1,0.56,0.49,0.56,Getafe,1.54,1.6,0.66,0.43,0.33,0.0
49,2010-09-27,Malaga,2.15,2.1,0.54,0.51,0.12,Villarreal,2.0,0.8,0.62,0.54,0.52,0.0
50,2010-10-02,Sociedad,0.97,1.6,0.52,0.69,0.24,Espanol,0.65,1.5,0.68,0.43,0.56,1.0
51,2010-10-02,Valencia,1.75,0.6,0.64,0.48,0.49,Ath Bilbao,1.55,1.6,0.58,0.5,0.35,1.0
52,2010-10-02,Zaragoza,0.87,1.7,0.59,0.5,0.52,Sp Gijon,1.03,1.7,0.51,0.51,0.45,0.5
53,2010-10-03,Almeria,0.9,0.9,0.51,0.56,0.51,Malaga,2.03,1.9,0.52,0.45,0.12,0.5
54,2010-10-03,Barcelona,1.59,0.9,0.87,0.66,0.57,Mallorca,0.9,1.1,0.42,0.62,0.37,0.5
55,2010-10-03,Getafe,1.83,1.2,0.69,0.44,0.4,Hercules,0.87,1.0,0.5,0.48,0.27,1.0
56,2010-10-03,Osasuna,0.77,1.1,0.5,0.46,0.5,Levante,0.81,1.6,0.37,0.57,0.23,0.5
57,2010-10-03,Real Madrid,2.22,0.4,0.85,0.62,0.74,La Coruna,0.51,2.1,0.49,0.63,0.29,1.0
58,2010-10-03,Sevilla,1.49,1.0,0.76,0.55,0.57,Ath Madrid,1.46,1.3,0.46,0.39,0.26,1.0
59,2010-10-03,Villarreal,2.12,0.6,0.63,0.58,0.53,Santander,0.51,1.2,0.58,0.53,0.48,1.0
60,2010-10-16,Ath Madrid,1.52,1.1,0.45,0.41,0.28,Getafe,1.44,1.3,0.65,0.45,0.42,1.0
61,2010-10-16,Barcelona,1.77,0.9,0.86,0.67,0.59,Valencia,1.68,0.9,0.6,0.49,0.45,1.0
62,2010-10-16,Malaga,1.67,2.2,0.49,0.47,0.13,Real Madrid,2.6,0.5,0.82,0.6,0.74,0.0
63,2010-10-17,Ath Bilbao,1.62,1.5,0.6,0.5,0.38,Zaragoza,0.79,1.6,0.57,0.44,0.49,1.0
64,2010-10-17,La Coruna,0.47,1.9,0.56,0.62,0.4,Osasuna,0.62,0.9,0.45,0.44,0.45,0.5
65,2010-10-17,Levante,1.0,1.3,0.41,0.57,0.27,Sociedad,0.91,1.6,0.51,0.66,0.28,1.0
