,team,matchday,date,time,location,opponent,score,score_against,xg_against,xG,PSxG,assists,shots,shots_on_target,yellows,reds,touches,tackles,interceptions,blocks_by_player,non_penalty_expected_goals,expected_assisted_goals,shot_creating_actions,goal_creating_actions,passes_completed,progressive_passes,carries,progressive_carries,progressive_passing_distance,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,through_balls,crosses,corner_kicks,passes_offside,tackles_won,dribblers_tackled,dribbler_tackles_attempts,unsuccessful_dribbler_challenge,clearances,error_leading_to_opponent_shot,touches_in_attacking_penalty_area,player_take_ons_tackled,carries_into_penalty_box,failed_controls,dispossession_after_tackle,double_yellows,fouls,offsides,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerials_won,aerials_lost
0,Girona,1,2018-08-17,20:15:00,Home,Valladolid,0,0,0.0,0.69,0.0016666666666666668,0.0,13.0,1.0,1.0,0.0,746.0,12.0,13.0,4.0,0.7000000000000001,0.7,22.0,0.0,537.0,77.0,476.0,16.0,4080.0,1.4000000000000001,10.0,57.0,12.0,5.0,1.0,26.0,3.0,1.0,8.0,5.0,14.0,9.0,14.0,0.0,21.0,14.0,2.0,14.0,13.0,0.0,21.0,1.0,0.0,0.0,0.0,65.0,34.0,18.0
1,Valladolid,1,2018-08-17,20:15:00,Away,Girona,0,0,0.7,0.04,0.11,0.0,2.0,1.0,1.0,0.0,418.0,27.0,10.0,8.0,0.0,0.0,3.0,0.0,195.0,12.0,174.0,12.0,1837.0,0.1,1.0,12.0,0.0,0.0,0.0,15.0,2.0,1.0,15.0,14.0,30.0,16.0,33.0,0.0,4.0,5.0,3.0,10.0,7.0,0.0,20.0,1.0,0.0,0.0,0.0,52.0,18.0,34.0
0,Real Betis,1,2018-08-17,22:15:00,Home,Levante,0,3,2.5,0.9299999999999999,0.04318181818181818,0.0,22.0,8.0,0.0,0.0,881.0,25.0,9.0,7.0,1.1,0.5,35.0,0.0,667.0,74.0,548.0,28.0,3098.0,1.2000000000000002,15.0,60.0,13.0,2.0,1.0,24.0,5.0,2.0,14.0,13.0,26.0,13.0,16.0,0.0,30.0,8.0,5.0,22.0,6.0,0.0,10.0,2.0,0.0,0.0,0.0,60.0,16.0,9.0
1,Levante,1,2018-08-17,22:15:00,Away,Real Betis,3,0,0.9,2.18,0.45,2.0,6.0,4.0,2.0,0.0,355.0,14.0,10.0,7.0,2.5,1.7,9.0,6.0,150.0,18.0,179.0,14.0,1331.0,0.4,5.0,14.0,1.0,0.0,0.0,10.0,3.0,4.0,7.0,8.0,25.0,17.0,35.0,0.0,10.0,13.0,6.0,10.0,12.0,0.0,10.0,4.0,0.0,0.0,0.0,51.0,9.0,16.0
0,Celta Vigo,1,2018-08-18,18:15:00,Home,Espanyol,1,1,0.6,0.54,0.03727272727272728,0.0,12.0,2.0,3.0,0.0,547.0,9.0,16.0,13.0,0.5,0.5,23.0,0.0,330.0,31.0,315.0,14.0,2101.0,0.5,10.0,26.0,7.0,3.0,1.0,25.0,8.0,3.0,5.0,2.0,9.0,7.0,19.0,0.0,16.0,17.0,1.0,15.0,8.0,0.0,13.0,3.0,0.0,0.0,0.0,54.0,16.0,9.0
1,Espanyol,1,2018-08-18,18:15:00,Away,Celta Vigo,1,1,0.6,0.64,0.08,0.0,14.0,5.0,2.0,0.0,574.0,25.0,13.0,6.0,0.6000000000000001,0.5,26.0,2.0,361.0,48.0,323.0,20.0,2282.0,0.4,12.0,28.0,8.0,3.0,1.0,20.0,7.0,1.0,12.0,17.0,27.0,10.0,20.0,0.0,14.0,2.0,3.0,22.0,7.0,0.0,14.0,1.0,0.0,0.0,1.0,49.0,9.0,16.0
0,Villarreal,1,2018-08-18,20:15:00,Home,Real Sociedad,1,2,0.7,0.67,0.06888888888888889,0.0,9.0,4.0,3.0,0.0,566.0,11.0,19.0,12.0,0.5,0.39999999999999997,13.0,1.0,360.0,28.0,280.0,9.0,2348.0,0.4,7.0,15.0,3.0,1.0,1.0,13.0,6.0,4.0,4.0,5.0,15.0,10.0,21.0,0.0,12.0,5.0,2.0,9.0,9.0,0.0,10.0,4.0,0.0,0.0,0.0,44.0,18.0,14.0
1,Real Sociedad,1,2018-08-18,20:15:00,Away,Villarreal,2,1,1.6,1.55,0.06466666666666666,1.0,16.0,7.0,2.0,0.0,589.0,14.0,5.0,11.0,1.7,1.0,32.0,2.0,392.0,70.0,346.0,22.0,2633.0,0.8,13.0,51.0,16.0,3.0,2.0,18.0,4.0,0.0,9.0,5.0,12.0,7.0,13.0,2.0,26.0,5.0,7.0,9.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,43.0,14.0,18.0
0,Barcelona,1,2018-08-18,22:15:00,Home,Alavés,3,0,0.3,0.3,0.0,0.0,3.0,0.0,2.0,0.0,361.0,22.0,15.0,13.0,0.30000000000000004,0.30000000000000004,4.0,0.0,160.0,10.0,164.0,10.0,1313.0,0.30000000000000004,2.0,7.0,1.0,1.0,2.0,8.0,1.0,0.0,10.0,5.0,18.0,13.0,35.0,1.0,5.0,4.0,1.0,10.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,48.0,2.0,13.0
1,Alavés,1,2018-08-18,22:15:00,Away,Barcelona,0,3,3.2,2.62,0.0775,2.0,25.0,9.0,0.0,0.0,979.0,7.0,6.0,2.0,3.1,2.5,44.0,6.0,819.0,89.0,637.0,26.0,3732.0,1.7000000000000002,17.0,77.0,23.0,1.0,4.0,10.0,7.0,3.0,4.0,4.0,8.0,4.0,3.0,1.0,49.0,5.0,10.0,6.0,17.0,0.0,6.0,3.0,0.0,0.0,0.0,53.0,13.0,2.0
