,team,matchday,date,time,location,opponent,score,score_against,xg_against,xG,PSxG,assists,shots,shots_on_target,yellows,reds,touches,tackles,interceptions,blocks_by_player,non_penalty_expected_goals,expected_assisted_goals,shot_creating_actions,goal_creating_actions,passes_completed,progressive_passes,carries,progressive_carries,progressive_passing_distance,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,through_balls,crosses,corner_kicks,passes_offside,tackles_won,dribblers_tackled,dribbler_tackles_attempts,unsuccessful_dribbler_challenge,clearances,error_leading_to_opponent_shot,touches_in_attacking_penalty_area,player_take_ons_tackled,carries_into_penalty_box,failed_controls,dispossession_after_tackle,double_yellows,fouls,offsides,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerials_won,aerials_lost
0,Almería,1,2023-08-11,19:30:00,Home,Rayo Vallecano,0,2,2.1,1.3499999999999999,0.035555555555555556,0.0,19.0,5.0,1.0,0.0,650.0,17.0,4.0,9.0,1.2,1.2,35.0,0.0,448.0,39.0,391.0,18.0,2737.0,0.8,16.0,29.0,10.0,2.0,1.0,26.0,8.0,1.0,12.0,8.0,12.0,4.0,14.0,0.0,24.0,16.0,4.0,18.0,3.0,0.0,16.0,1.0,0.0,2.0,0.0,47.0,11.0,18.0
1,Rayo Vallecano,1,2023-08-11,19:30:00,Away,Almería,2,0,1.4,2.08,0.20400000000000001,0.0,8.0,2.0,3.0,0.0,458.0,19.0,10.0,6.0,0.5,0.2,17.0,3.0,268.0,18.0,289.0,10.0,1875.0,0.5,5.0,26.0,5.0,1.0,0.0,8.0,3.0,1.0,10.0,16.0,28.0,12.0,29.0,0.0,15.0,8.0,2.0,10.0,9.0,0.0,25.0,1.0,1.0,0.0,0.0,41.0,18.0,11.0
0,Sevilla,1,2023-08-11,22:00:00,Home,Valencia,1,2,1.1,0.71,0.0975,1.0,9.0,3.0,3.0,1.0,585.0,23.0,9.0,12.0,0.7,0.6,17.0,2.0,339.0,23.0,320.0,15.0,2502.0,0.4,8.0,24.0,7.0,5.0,0.0,34.0,8.0,3.0,12.0,7.0,19.0,12.0,7.0,0.0,16.0,13.0,4.0,18.0,11.0,0.0,15.0,3.0,0.0,0.0,0.0,58.0,17.0,19.0
1,Valencia,1,2023-08-11,22:00:00,Away,Sevilla,2,1,0.7,1.1199999999999999,0.11199999999999999,2.0,10.0,3.0,2.0,0.0,516.0,24.0,10.0,12.0,1.1,1.1,19.0,4.0,275.0,26.0,232.0,13.0,1942.0,0.8,8.0,21.0,7.0,3.0,3.0,11.0,1.0,0.0,13.0,13.0,20.0,7.0,36.0,1.0,15.0,7.0,5.0,11.0,16.0,0.0,17.0,0.0,0.0,0.0,0.0,59.0,19.0,17.0
0,Real Sociedad,1,2023-08-12,17:00:00,Home,Girona,1,1,0.8,0.81,0.06333333333333334,1.0,6.0,1.0,5.0,0.0,548.0,15.0,4.0,10.0,0.8,0.9,12.0,2.0,369.0,20.0,315.0,9.0,2076.0,1.3,6.0,22.0,5.0,1.0,1.0,14.0,1.0,3.0,7.0,7.0,16.0,9.0,14.0,0.0,16.0,7.0,3.0,19.0,10.0,0.0,9.0,3.0,0.0,0.0,0.0,45.0,18.0,19.0
1,Girona,1,2023-08-12,17:00:00,Away,Real Sociedad,1,1,1.0,0.9,0.04928571428571428,1.0,15.0,2.0,2.0,0.0,512.0,17.0,7.0,7.0,1.0,0.8,23.0,1.0,331.0,34.0,324.0,13.0,2226.0,0.6,11.0,22.0,9.0,2.0,1.0,10.0,4.0,0.0,15.0,7.0,13.0,6.0,12.0,0.0,18.0,7.0,3.0,20.0,8.0,0.0,22.0,0.0,0.0,0.0,0.0,43.0,19.0,18.0
0,Las Palmas,1,2023-08-12,18:30:00,Home,Mallorca,1,1,1.6,0.93,0.22199999999999998,0.0,4.0,1.0,3.0,0.0,738.0,14.0,9.0,5.0,0.1,0.0,10.0,2.0,542.0,37.0,472.0,13.0,2687.0,0.0,3.0,33.0,5.0,0.0,1.0,5.0,3.0,1.0,5.0,4.0,8.0,4.0,19.0,0.0,9.0,12.0,3.0,12.0,13.0,0.0,11.0,1.0,1.0,1.0,0.0,37.0,14.0,15.0
1,Mallorca,1,2023-08-12,18:30:00,Away,Las Palmas,1,1,0.9,1.48,0.025,1.0,10.0,2.0,2.0,0.0,393.0,25.0,15.0,6.0,1.0,0.8,21.0,1.0,202.0,20.0,194.0,8.0,1803.0,0.7000000000000001,8.0,15.0,4.0,1.0,3.0,17.0,6.0,6.0,16.0,12.0,21.0,9.0,7.0,0.0,17.0,4.0,3.0,12.0,10.0,0.0,22.0,6.0,1.0,1.0,0.0,49.0,15.0,14.0
0,Athletic Club,1,2023-08-12,21:30:00,Home,Real Madrid,0,2,0.9,0.3,0.006666666666666667,0.0,7.0,1.0,3.0,0.0,658.0,16.0,7.0,9.0,0.5,0.2,10.0,0.0,453.0,41.0,425.0,13.0,2692.0,0.4,4.0,41.0,5.0,1.0,0.0,30.0,7.0,2.0,9.0,10.0,18.0,8.0,13.0,0.0,10.0,12.0,4.0,19.0,13.0,0.0,18.0,2.0,0.0,0.0,0.0,67.0,5.0,9.0
1,Real Madrid,1,2023-08-12,21:30:00,Away,Athletic Club,2,0,0.4,1.02,0.10428571428571429,2.0,14.0,8.0,1.0,0.0,770.0,25.0,10.0,11.0,0.9,0.8,26.0,4.0,556.0,49.0,528.0,21.0,3152.0,0.8,9.0,37.0,11.0,1.0,5.0,9.0,5.0,2.0,16.0,12.0,16.0,4.0,24.0,1.0,24.0,10.0,4.0,19.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,61.0,9.0,5.0
