,team,matchday,date,time,location,opponent,score,score_against,xg_against,xG,PSxG,assists,shots,shots_on_target,yellows,reds,touches,tackles,interceptions,blocks_by_player,non_penalty_expected_goals,expected_assisted_goals,shot_creating_actions,goal_creating_actions,passes_completed,progressive_passes,carries,progressive_carries,progressive_passing_distance,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,through_balls,crosses,corner_kicks,passes_offside,tackles_won,dribblers_tackled,dribbler_tackles_attempts,unsuccessful_dribbler_challenge,clearances,error_leading_to_opponent_shot,touches_in_attacking_penalty_area,player_take_ons_tackled,carries_into_penalty_box,failed_controls,dispossession_after_tackle,double_yellows,fouls,offsides,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerials_won,aerials_lost
0,Athletic Club,1,2019-08-16,21:00:00,Home,Barcelona,1,0,0.9,0.49,0.06454545454545454,1.0,11.0,5.0,1.0,0.0,387.0,9.0,11.0,13.0,0.5,0.30000000000000004,18.0,2.0,200.0,20.0,176.0,15.0,1801.0,0.4,8.0,15.0,5.0,3.0,1.0,13.0,3.0,2.0,5.0,6.0,15.0,9.0,18.0,1.0,9.0,5.0,2.0,12.0,3.0,0.0,14.0,2.0,0.0,0.0,0.0,44.0,14.0,12.0
1,Barcelona,1,2019-08-16,21:00:00,Away,Athletic Club,0,1,0.5,0.77,0.023,0.0,11.0,2.0,1.0,0.0,786.0,8.0,5.0,6.0,0.9,0.5,19.0,0.0,604.0,47.0,515.0,17.0,2816.0,0.5,9.0,47.0,7.0,2.0,1.0,16.0,8.0,1.0,6.0,5.0,10.0,5.0,12.0,1.0,19.0,6.0,2.0,10.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,38.0,12.0,14.0
0,Celta Vigo,1,2019-08-17,17:00:00,Home,Real Madrid,1,3,2.1,1.33,0.13,1.0,7.0,3.0,5.0,0.0,651.0,14.0,7.0,9.0,1.5999999999999999,1.1,13.0,2.0,486.0,40.0,456.0,20.0,2769.0,0.8,6.0,36.0,9.0,2.0,0.0,27.0,6.0,5.0,9.0,4.0,15.0,11.0,5.0,0.0,13.0,8.0,4.0,12.0,5.0,0.0,17.0,5.0,0.0,0.0,0.0,40.0,5.0,12.0
1,Real Madrid,1,2019-08-17,17:00:00,Away,Celta Vigo,3,1,1.6,2.16,0.18588235294117647,3.0,17.0,11.0,2.0,1.0,548.0,13.0,7.0,7.0,2.2,2.0,33.0,6.0,369.0,24.0,288.0,22.0,2149.0,1.6,15.0,21.0,4.0,1.0,0.0,11.0,4.0,1.0,8.0,8.0,22.0,14.0,20.0,0.0,20.0,4.0,8.0,10.0,10.0,0.0,12.0,1.0,0.0,0.0,0.0,46.0,12.0,5.0
0,Valencia,1,2019-08-17,19:00:00,Home,Real Sociedad,1,1,1.8,1.1600000000000001,0.014545454545454545,0.0,11.0,2.0,4.0,0.0,755.0,14.0,3.0,5.0,1.2,0.5,19.0,1.0,579.0,72.0,470.0,29.0,2998.0,0.7,8.0,47.0,9.0,2.0,0.0,19.0,3.0,2.0,7.0,8.0,18.0,10.0,11.0,0.0,25.0,7.0,7.0,14.0,10.0,0.0,14.0,2.0,0.0,1.0,0.0,49.0,16.0,11.0
1,Real Sociedad,1,2019-08-17,19:00:00,Away,Valencia,1,1,2.3,2.32,0.09214285714285715,1.0,13.0,6.0,4.0,1.0,504.0,17.0,9.0,10.0,1.5,1.4,28.0,2.0,320.0,35.0,279.0,17.0,1964.0,1.6,12.0,25.0,7.0,0.0,2.0,6.0,3.0,2.0,10.0,7.0,17.0,10.0,22.0,0.0,21.0,8.0,5.0,14.0,6.0,1.0,13.0,2.0,1.0,1.0,0.0,46.0,11.0,16.0
0,Mallorca,1,2019-08-17,20:00:00,Home,Eibar,2,1,0.7,0.62,0.11400000000000002,0.0,11.0,5.0,3.0,0.0,620.0,15.0,8.0,6.0,0.6000000000000001,0.6,21.0,1.0,425.0,42.0,386.0,13.0,3086.0,0.7,10.0,43.0,10.0,6.0,1.0,17.0,3.0,0.0,11.0,6.0,9.0,3.0,19.0,0.0,18.0,0.0,3.0,6.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,44.0,33.0,33.0
1,Eibar,1,2019-08-17,20:00:00,Away,Mallorca,1,2,1.6,1.59,0.043333333333333335,1.0,15.0,2.0,2.0,0.0,435.0,14.0,8.0,3.0,1.6,1.5,28.0,2.0,226.0,23.0,179.0,12.0,2139.0,0.7,11.0,13.0,7.0,4.0,0.0,16.0,9.0,3.0,8.0,0.0,5.0,5.0,31.0,0.0,16.0,6.0,5.0,17.0,9.0,0.0,13.0,3.0,0.0,0.0,0.0,43.0,33.0,33.0
0,Leganés,1,2019-08-17,21:00:00,Home,Osasuna,0,1,0.2,1.0,0.014166666666666668,0.0,13.0,2.0,1.0,1.0,492.0,16.0,6.0,1.0,1.2999999999999998,1.2,21.0,0.0,270.0,27.0,219.0,10.0,1897.0,0.7,8.0,17.0,7.0,4.0,0.0,23.0,8.0,5.0,9.0,6.0,10.0,4.0,10.0,0.0,21.0,5.0,3.0,16.0,6.0,0.0,17.0,5.0,0.0,0.0,0.0,32.0,19.0,30.0
1,Osasuna,1,2019-08-17,21:00:00,Away,Leganés,1,0,1.4,0.18,0.0825,1.0,4.0,2.0,4.0,0.0,479.0,11.0,6.0,16.0,0.2,0.1,6.0,1.0,255.0,24.0,213.0,11.0,1972.0,0.0,2.0,18.0,2.0,0.0,0.0,9.0,0.0,2.0,7.0,5.0,10.0,5.0,26.0,0.0,3.0,6.0,0.0,15.0,10.0,0.0,11.0,2.0,0.0,0.0,0.0,35.0,30.0,19.0
