,team,matchday,date,time,location,opponent,score,score_against,xg_against,xG,PSxG,assists,shots,shots_on_target,yellows,reds,touches,tackles,interceptions,blocks_by_player,non_penalty_expected_goals,expected_assisted_goals,shot_creating_actions,goal_creating_actions,passes_completed,progressive_passes,carries,progressive_carries,progressive_passing_distance,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,through_balls,crosses,corner_kicks,passes_offside,tackles_won,dribblers_tackled,dribbler_tackles_attempts,unsuccessful_dribbler_challenge,clearances,error_leading_to_opponent_shot,touches_in_attacking_penalty_area,player_take_ons_tackled,carries_into_penalty_box,failed_controls,dispossession_after_tackle,double_yellows,fouls,offsides,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerials_won,aerials_lost
0,Alavés,2,2017-08-26,18:15:00,Home,Barcelona,0,2,2.5,0.96,0.05818181818181818,0.0,11.0,2.0,2.0,0.0,396.0,25.0,15.0,14.0,0.9,0.6,19.0,0.0,202.0,13.0,258.0,7.0,1914.0,0.30000000000000004,6.0,14.0,1.0,0.0,1.0,5.0,1.0,1.0,18.0,11.0,32.0,21.0,30.0,1.0,9.0,8.0,4.0,10.0,5.0,0.0,12.0,1.0,0.0,1.0,0.0,57.0,8.0,6.0
1,Barcelona,2,2017-08-26,18:15:00,Away,Alavés,2,0,0.9,2.43,0.10272727272727274,2.0,22.0,10.0,3.0,0.0,862.0,13.0,8.0,10.0,1.7,1.4,42.0,3.0,690.0,82.0,548.0,26.0,3424.0,1.2,18.0,75.0,11.0,1.0,0.0,18.0,14.0,0.0,10.0,8.0,16.0,8.0,7.0,0.0,33.0,11.0,13.0,13.0,14.0,0.0,10.0,0.0,1.0,0.0,0.0,57.0,6.0,8.0
0,Girona,2,2017-08-26,20:15:00,Home,Málaga,1,0,0.4,1.49,0.11000000000000001,0.0,15.0,4.0,3.0,0.0,497.0,20.0,15.0,5.0,1.4,0.9,27.0,1.0,302.0,32.0,274.0,14.0,2412.0,0.9,12.0,30.0,3.0,1.0,4.0,20.0,2.0,3.0,11.0,6.0,22.0,16.0,23.0,0.0,19.0,5.0,5.0,17.0,9.0,0.0,11.0,3.0,0.0,0.0,0.0,42.0,22.0,5.0
1,Málaga,2,2017-08-26,20:15:00,Away,Girona,0,1,1.4,0.35,0.045000000000000005,0.0,7.0,2.0,3.0,0.0,565.0,14.0,7.0,6.0,0.4,0.4,12.0,0.0,377.0,29.0,333.0,14.0,2449.0,0.3,4.0,23.0,5.0,0.0,2.0,20.0,3.0,1.0,11.0,5.0,25.0,20.0,21.0,0.0,12.0,6.0,3.0,10.0,14.0,0.0,15.0,1.0,0.0,0.0,0.0,38.0,5.0,22.0
0,Levante,2,2017-08-26,20:15:00,Home,Deportivo La Coruña,2,2,0.8,0.74,0.099,2.0,11.0,4.0,2.0,0.0,473.0,22.0,10.0,8.0,0.8,0.7000000000000001,20.0,4.0,267.0,20.0,236.0,11.0,2207.0,0.9,10.0,19.0,1.0,0.0,0.0,8.0,5.0,7.0,15.0,14.0,27.0,13.0,40.0,0.0,16.0,5.0,5.0,19.0,6.0,0.0,12.0,7.0,0.0,1.0,0.0,39.0,9.0,14.0
1,Deportivo La Coruña,2,2017-08-26,20:15:00,Away,Levante,2,2,2.4,2.43,0.10625,0.0,23.0,4.0,2.0,1.0,563.0,11.0,4.0,9.0,1.6,1.5,43.0,3.0,379.0,42.0,334.0,38.0,2595.0,1.4,19.0,30.0,12.0,5.0,3.0,34.0,6.0,0.0,9.0,5.0,8.0,3.0,8.0,0.0,35.0,14.0,6.0,13.0,8.0,1.0,11.0,0.0,1.0,0.0,0.0,43.0,14.0,9.0
0,Las Palmas,2,2017-08-26,21:15:00,Home,Atlético Madrid,1,5,0.4,0.38,0.26,3.0,8.0,6.0,1.0,0.0,510.0,28.0,22.0,10.0,0.4,0.2,13.0,9.0,302.0,28.0,284.0,16.0,1835.0,0.2,5.0,17.0,5.0,0.0,1.0,7.0,2.0,0.0,17.0,12.0,25.0,13.0,26.0,0.0,23.0,11.0,7.0,18.0,5.0,0.0,9.0,0.0,0.0,1.0,0.0,55.0,12.0,3.0
1,Atlético Madrid,2,2017-08-26,21:15:00,Away,Las Palmas,5,1,1.4,1.37,0.16799999999999998,1.0,10.0,3.0,4.0,0.0,737.0,16.0,16.0,5.0,0.6,0.6,22.0,2.0,549.0,36.0,499.0,17.0,2437.0,0.5,8.0,44.0,8.0,1.0,0.0,16.0,4.0,2.0,11.0,11.0,20.0,9.0,15.0,0.0,11.0,12.0,1.0,15.0,16.0,0.0,11.0,2.0,1.0,0.0,0.0,51.0,3.0,12.0
0,Espanyol,2,2017-08-27,18:15:00,Home,Leganés,0,1,1.2,1.19,0.004666666666666667,0.0,15.0,1.0,3.0,0.0,650.0,19.0,10.0,7.0,1.1,0.9,26.0,0.0,403.0,35.0,327.0,14.0,2892.0,1.1,8.0,44.0,10.0,4.0,0.0,33.0,9.0,0.0,15.0,9.0,13.0,4.0,10.0,0.0,22.0,12.0,3.0,11.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,65.0,16.0,23.0
1,Leganés,2,2017-08-27,18:15:00,Away,Espanyol,1,0,1.2,1.36,0.14272727272727273,0.0,12.0,8.0,3.0,0.0,527.0,23.0,23.0,13.0,1.3,0.5,22.0,1.0,263.0,36.0,286.0,12.0,2121.0,0.5,9.0,27.0,7.0,0.0,0.0,7.0,1.0,4.0,12.0,12.0,17.0,5.0,39.0,0.0,20.0,9.0,2.0,19.0,10.0,0.0,14.0,4.0,0.0,0.0,0.0,63.0,23.0,16.0
0,Eibar,2,2017-08-27,18:15:00,Home,Athletic Club,0,1,1.1,1.13,0.14500000000000002,1.0,9.0,4.0,1.0,0.0,505.0,20.0,15.0,16.0,1.1,1.1,15.0,2.0,248.0,24.0,245.0,9.0,2511.0,0.6,7.0,26.0,5.0,1.0,0.0,11.0,3.0,5.0,14.0,8.0,18.0,10.0,25.0,0.0,15.0,9.0,3.0,9.0,15.0,0.0,11.0,5.0,0.0,0.0,0.0,56.0,20.0,23.0
1,Athletic Club,2,2017-08-27,18:15:00,Away,Eibar,1,0,1.2,1.24,0.08,0.0,14.0,5.0,3.0,1.0,612.0,24.0,12.0,12.0,1.2,1.2000000000000002,25.0,0.0,354.0,42.0,328.0,17.0,2896.0,0.9,12.0,29.0,7.0,5.0,0.0,23.0,4.0,2.0,14.0,9.0,18.0,9.0,29.0,0.0,16.0,8.0,2.0,16.0,12.0,1.0,14.0,2.0,0.0,0.0,0.0,57.0,23.0,20.0
0,Getafe,2,2017-08-27,20:15:00,Home,Sevilla,0,1,1.2,1.8199999999999998,0.08666666666666667,0.0,15.0,3.0,0.0,0.0,536.0,19.0,22.0,7.0,1.8,1.7000000000000002,24.0,0.0,268.0,27.0,239.0,9.0,2188.0,1.2999999999999998,13.0,18.0,13.0,3.0,4.0,23.0,7.0,3.0,14.0,6.0,18.0,12.0,19.0,0.0,25.0,9.0,1.0,16.0,16.0,0.0,20.0,3.0,0.0,0.0,0.0,68.0,14.0,11.0
1,Sevilla,2,2017-08-27,20:15:00,Away,Getafe,1,0,1.8,0.61,0.22400000000000003,1.0,6.0,3.0,1.0,0.0,671.0,25.0,8.0,14.0,1.2,1.2,11.0,2.0,396.0,39.0,316.0,17.0,2750.0,0.4,6.0,32.0,6.0,2.0,3.0,11.0,5.0,3.0,17.0,9.0,14.0,5.0,46.0,0.0,16.0,6.0,3.0,20.0,13.0,0.0,10.0,3.0,0.0,0.0,0.0,60.0,11.0,14.0
0,Real Madrid,2,2017-08-27,22:15:00,Home,Valencia,2,2,0.9,3.12,0.12380952380952381,0.0,22.0,6.0,3.0,0.0,719.0,17.0,9.0,12.0,3.1,2.5,39.0,2.0,546.0,70.0,502.0,40.0,3405.0,1.8,18.0,53.0,17.0,5.0,0.0,33.0,13.0,3.0,12.0,3.0,7.0,4.0,8.0,0.0,36.0,7.0,10.0,7.0,9.0,0.0,12.0,3.0,0.0,0.0,0.0,46.0,6.0,14.0
1,Valencia,2,2017-08-27,22:15:00,Away,Real Madrid,2,2,3.2,0.89,0.24428571428571427,2.0,7.0,3.0,5.0,0.0,427.0,16.0,14.0,13.0,0.9,0.7999999999999999,12.0,4.0,247.0,28.0,271.0,14.0,2481.0,0.9,5.0,21.0,4.0,1.0,2.0,15.0,4.0,3.0,8.0,7.0,17.0,10.0,30.0,1.0,11.0,3.0,2.0,10.0,14.0,0.0,12.0,3.0,0.0,0.0,0.0,38.0,14.0,6.0
0,Leganés,3,2017-09-08,21:00:00,Home,Getafe,1,2,0.4,0.41000000000000003,0.07,2.0,10.0,2.0,2.0,0.0,437.0,21.0,19.0,5.0,0.30000000000000004,0.2,17.0,4.0,189.0,17.0,157.0,3.0,1695.0,0.30000000000000004,7.0,16.0,3.0,1.0,0.0,13.0,4.0,2.0,15.0,7.0,18.0,11.0,26.0,0.0,11.0,8.0,2.0,10.0,10.0,0.0,20.0,2.0,0.0,1.0,0.0,51.0,12.0,16.0
1,Getafe,3,2017-09-08,21:00:00,Away,Leganés,2,1,1.6,1.6700000000000002,0.21545454545454545,0.0,10.0,6.0,1.0,0.0,599.0,18.0,17.0,8.0,0.9,0.2,19.0,1.0,359.0,37.0,345.0,14.0,2676.0,0.4,7.0,37.0,9.0,4.0,0.0,22.0,2.0,0.0,13.0,8.0,10.0,2.0,9.0,0.0,24.0,7.0,2.0,18.0,14.0,0.0,14.0,0.0,1.0,0.0,0.0,51.0,16.0,12.0
0,Real Madrid,3,2017-09-09,13:00:00,Home,Levante,1,1,0.7,0.74,0.264,1.0,5.0,2.0,3.0,0.0,407.0,15.0,15.0,9.0,0.7,0.7,10.0,2.0,215.0,10.0,207.0,10.0,2418.0,0.1,4.0,16.0,1.0,0.0,1.0,8.0,3.0,1.0,10.0,5.0,14.0,9.0,35.0,0.0,4.0,2.0,0.0,15.0,10.0,0.0,16.0,1.0,0.0,0.0,0.0,36.0,11.0,14.0
1,Levante,3,2017-09-09,13:00:00,Away,Real Madrid,1,1,3.1,3.2,0.17529411764705882,0.0,18.0,10.0,2.0,1.0,736.0,12.0,9.0,10.0,3.1999999999999997,2.2,35.0,1.0,553.0,88.0,507.0,30.0,3062.0,2.0,16.0,61.0,20.0,6.0,4.0,37.0,13.0,3.0,7.0,2.0,8.0,6.0,10.0,1.0,37.0,5.0,5.0,14.0,10.0,0.0,9.0,3.0,0.0,0.0,0.0,51.0,14.0,11.0
0,Valencia,3,2017-09-09,16:15:00,Home,Atlético Madrid,0,0,0.6,0.61,0.049999999999999996,0.0,13.0,4.0,0.0,0.0,662.0,24.0,13.0,14.0,0.7,0.4,21.0,0.0,433.0,46.0,396.0,24.0,2436.0,0.6000000000000001,6.0,34.0,6.0,1.0,1.0,17.0,3.0,0.0,19.0,11.0,18.0,7.0,23.0,0.0,23.0,14.0,3.0,14.0,15.0,0.0,14.0,0.0,0.0,0.0,0.0,65.0,11.0,12.0
1,Atlético Madrid,3,2017-09-09,16:15:00,Away,Valencia,0,0,0.5,0.51,0.0,0.0,11.0,0.0,1.0,0.0,630.0,29.0,15.0,17.0,0.4,0.30000000000000004,20.0,0.0,407.0,44.0,389.0,23.0,2347.0,0.5,9.0,46.0,8.0,4.0,0.0,22.0,4.0,0.0,17.0,14.0,22.0,8.0,16.0,0.0,15.0,11.0,4.0,11.0,13.0,0.0,16.0,0.0,0.0,0.0,0.0,53.0,12.0,11.0
0,Sevilla,3,2017-09-09,18:30:00,Home,Eibar,3,0,0.8,0.9,0.038571428571428576,0.0,7.0,1.0,1.0,0.0,491.0,20.0,19.0,13.0,0.8,0.8,12.0,0.0,255.0,27.0,239.0,16.0,1989.0,0.30000000000000004,6.0,20.0,2.0,2.0,0.0,21.0,5.0,2.0,11.0,6.0,12.0,6.0,13.0,0.0,9.0,7.0,2.0,16.0,11.0,0.0,18.0,2.0,0.0,0.0,0.0,58.0,19.0,16.0
1,Eibar,3,2017-09-09,18:30:00,Away,Sevilla,0,3,3.0,2.79,0.18181818181818182,3.0,12.0,6.0,1.0,0.0,676.0,18.0,9.0,12.0,3.1,3.1,23.0,6.0,445.0,46.0,402.0,23.0,3125.0,1.5,11.0,28.0,6.0,1.0,1.0,17.0,6.0,4.0,14.0,7.0,13.0,6.0,12.0,0.0,26.0,6.0,10.0,21.0,14.0,0.0,14.0,4.0,0.0,0.0,0.0,62.0,16.0,19.0
0,Barcelona,3,2017-09-09,20:45:00,Home,Espanyol,5,0,0.7,4.86,0.2752631578947369,5.0,20.0,9.0,1.0,0.0,869.0,13.0,6.0,12.0,5.1000000000000005,4.9,34.0,9.0,682.0,49.0,475.0,19.0,3839.0,4.0,16.0,41.0,15.0,1.0,2.0,9.0,8.0,3.0,10.0,6.0,8.0,2.0,18.0,1.0,39.0,10.0,3.0,19.0,14.0,0.0,11.0,3.0,0.0,0.0,0.0,49.0,9.0,5.0
1,Espanyol,3,2017-09-09,20:45:00,Away,Barcelona,0,5,5.1,0.7200000000000001,0.017777777777777778,0.0,9.0,1.0,5.0,0.0,343.0,24.0,10.0,13.0,0.7000000000000001,0.2,15.0,0.0,153.0,12.0,143.0,2.0,1161.0,0.3,5.0,13.0,2.0,1.0,0.0,18.0,7.0,1.0,16.0,10.0,24.0,14.0,20.0,0.0,9.0,6.0,1.0,8.0,7.0,0.0,18.0,1.0,0.0,0.0,0.0,41.0,5.0,9.0
0,Deportivo La Coruña,3,2017-09-10,12:00:00,Home,Real Sociedad,2,4,2.0,0.98,0.153,2.0,11.0,4.0,1.0,0.0,479.0,15.0,24.0,9.0,1.1,1.0,19.0,4.0,259.0,31.0,253.0,14.0,1767.0,0.4,8.0,27.0,9.0,3.0,1.0,22.0,5.0,1.0,11.0,7.0,19.0,12.0,16.0,0.0,21.0,7.0,4.0,15.0,5.0,0.0,18.0,1.0,0.0,0.0,0.0,42.0,15.0,17.0
1,Real Sociedad,3,2017-09-10,12:00:00,Away,Deportivo La Coruña,4,2,1.0,1.9500000000000002,0.16999999999999998,2.0,15.0,4.0,3.0,0.0,614.0,12.0,14.0,10.0,1.9,1.2,27.0,6.0,397.0,36.0,354.0,27.0,2565.0,0.6000000000000001,13.0,29.0,10.0,6.0,0.0,19.0,7.0,1.0,6.0,7.0,16.0,9.0,31.0,0.0,26.0,7.0,5.0,13.0,8.0,0.0,14.0,1.0,0.0,0.0,0.0,47.0,17.0,15.0
0,Athletic Club,3,2017-09-10,16:15:00,Home,Girona,2,0,0.4,0.97,0.29333333333333333,2.0,7.0,4.0,4.0,0.0,511.0,15.0,7.0,11.0,1.6,0.8999999999999999,12.0,4.0,305.0,24.0,236.0,19.0,1963.0,0.5,6.0,17.0,6.0,2.0,0.0,14.0,6.0,0.0,12.0,7.0,16.0,9.0,32.0,0.0,15.0,4.0,3.0,12.0,16.0,0.0,19.0,0.0,0.0,0.0,0.0,45.0,14.0,9.0
1,Girona,3,2017-09-10,16:15:00,Away,Athletic Club,0,2,1.6,0.4,0.051666666666666666,0.0,12.0,7.0,6.0,0.0,531.0,20.0,7.0,7.0,0.30000000000000004,0.2,18.0,0.0,326.0,45.0,315.0,18.0,2023.0,0.1,6.0,31.0,3.0,2.0,0.0,19.0,4.0,2.0,15.0,4.0,11.0,7.0,20.0,0.0,11.0,7.0,3.0,16.0,8.0,0.0,18.0,2.0,0.0,0.0,0.0,46.0,9.0,14.0
