,team,matchday,date,time,location,opponent,score,score_against,xg_against,xG,PSxG,assists,shots,shots_on_target,yellows,reds,touches,tackles,interceptions,blocks_by_player,non_penalty_expected_goals,expected_assisted_goals,shot_creating_actions,goal_creating_actions,passes_completed,progressive_passes,carries,progressive_carries,progressive_passing_distance,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,through_balls,crosses,corner_kicks,passes_offside,tackles_won,dribblers_tackled,dribbler_tackles_attempts,unsuccessful_dribbler_challenge,clearances,error_leading_to_opponent_shot,touches_in_attacking_penalty_area,player_take_ons_tackled,carries_into_penalty_box,failed_controls,dispossession_after_tackle,double_yellows,fouls,offsides,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerials_won,aerials_lost
0,Leganés,1,2017-08-18,20:15:00,Home,Alavés,1,0,1.1,1.1300000000000001,0.17666666666666667,0.0,8.0,4.0,1.0,0.0,503.0,19.0,14.0,14.0,0.2,0.30000000000000004,15.0,0.0,252.0,18.0,235.0,10.0,1900.0,0.3,7.0,19.0,2.0,0.0,1.0,10.0,2.0,0.0,13.0,8.0,15.0,7.0,17.0,1.0,10.0,10.0,4.0,19.0,13.0,0.0,17.0,0.0,1.0,0.0,0.0,60.0,16.0,30.0
1,Alavés,1,2017-08-18,20:15:00,Away,Leganés,0,1,1.3,1.27,0.08692307692307691,0.0,14.0,3.0,0.0,0.0,550.0,23.0,14.0,9.0,1.4,0.4,22.0,1.0,292.0,36.0,231.0,4.0,2489.0,0.7,7.0,39.0,10.0,2.0,0.0,12.0,4.0,3.0,15.0,10.0,18.0,8.0,20.0,0.0,18.0,8.0,0.0,24.0,11.0,0.0,17.0,3.0,0.0,1.0,0.0,55.0,30.0,16.0
0,Valencia,1,2017-08-18,22:15:00,Home,Las Palmas,1,0,0.2,0.23,0.138,0.0,5.0,4.0,3.0,1.0,628.0,17.0,15.0,19.0,0.2,0.1,8.0,0.0,440.0,26.0,392.0,20.0,2392.0,0.30000000000000004,3.0,27.0,4.0,0.0,1.0,8.0,2.0,1.0,9.0,7.0,12.0,5.0,10.0,0.0,7.0,9.0,3.0,14.0,7.0,0.0,13.0,1.0,0.0,0.0,0.0,42.0,6.0,8.0
1,Las Palmas,1,2017-08-18,22:15:00,Away,Valencia,0,1,1.4,1.35,0.04047619047619048,1.0,22.0,6.0,3.0,0.0,580.0,16.0,15.0,13.0,1.5,1.1,38.0,2.0,387.0,44.0,312.0,29.0,2505.0,1.2,17.0,39.0,9.0,1.0,4.0,15.0,5.0,2.0,9.0,9.0,18.0,9.0,16.0,0.0,34.0,7.0,11.0,10.0,10.0,0.0,25.0,2.0,0.0,0.0,0.0,54.0,8.0,6.0
0,Celta Vigo,1,2017-08-19,18:15:00,Home,Real Sociedad,2,3,2.1,1.74,0.112,1.0,16.0,5.0,3.0,0.0,585.0,11.0,11.0,6.0,1.7000000000000002,1.7000000000000002,30.0,4.0,399.0,51.0,335.0,26.0,2727.0,0.7,14.0,34.0,7.0,0.0,1.0,14.0,5.0,3.0,6.0,2.0,6.0,4.0,15.0,1.0,23.0,8.0,7.0,15.0,9.0,0.0,12.0,3.0,0.0,1.0,0.0,48.0,11.0,12.0
1,Real Sociedad,1,2017-08-19,18:15:00,Away,Celta Vigo,3,2,1.8,2.0700000000000003,0.18615384615384614,1.0,12.0,5.0,1.0,0.0,536.0,17.0,8.0,18.0,1.2,1.1,23.0,4.0,346.0,28.0,301.0,13.0,2387.0,1.3,9.0,22.0,6.0,4.0,1.0,16.0,4.0,1.0,11.0,8.0,12.0,4.0,18.0,0.0,14.0,2.0,3.0,17.0,9.0,0.0,11.0,1.0,1.0,0.0,0.0,44.0,12.0,11.0
0,Girona,1,2017-08-19,20:15:00,Home,Atlético Madrid,2,2,0.7,0.64,0.07,2.0,9.0,3.0,4.0,1.0,543.0,16.0,6.0,2.0,0.7,0.5,18.0,4.0,347.0,42.0,293.0,17.0,2439.0,0.4,7.0,39.0,4.0,0.0,1.0,8.0,0.0,2.0,9.0,6.0,10.0,4.0,32.0,1.0,13.0,6.0,4.0,9.0,6.0,0.0,15.0,2.0,0.0,0.0,0.0,42.0,20.0,18.0
1,Atlético Madrid,1,2017-08-19,20:15:00,Away,Girona,2,2,2.2,1.72,0.21333333333333335,1.0,13.0,6.0,2.0,0.0,603.0,12.0,12.0,8.0,2.1,1.8,25.0,4.0,400.0,48.0,318.0,19.0,2663.0,1.5,9.0,35.0,7.0,4.0,0.0,33.0,6.0,0.0,7.0,6.0,18.0,12.0,34.0,1.0,25.0,6.0,2.0,18.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,43.0,18.0,20.0
0,Sevilla,1,2017-08-19,22:15:00,Home,Espanyol,1,1,1.3,1.33,0.17333333333333334,0.0,9.0,6.0,4.0,0.0,524.0,16.0,19.0,11.0,1.3,0.2,14.0,2.0,291.0,26.0,255.0,17.0,1844.0,0.3,6.0,25.0,2.0,1.0,2.0,14.0,3.0,0.0,11.0,5.0,13.0,8.0,27.0,1.0,13.0,5.0,5.0,15.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,55.0,12.0,18.0
1,Espanyol,1,2017-08-19,22:15:00,Away,Sevilla,1,1,2.4,2.42,0.255,0.0,9.0,4.0,2.0,1.0,771.0,17.0,12.0,10.0,2.4000000000000004,1.1,16.0,2.0,540.0,46.0,447.0,24.0,2769.0,0.9,6.0,36.0,9.0,1.0,3.0,20.0,7.0,6.0,8.0,5.0,16.0,11.0,22.0,1.0,20.0,5.0,5.0,10.0,11.0,0.0,14.0,6.0,0.0,0.0,0.0,57.0,18.0,12.0
0,Athletic Club,1,2017-08-20,18:15:00,Home,Getafe,0,0,0.5,1.01,0.030833333333333334,0.0,13.0,2.0,1.0,0.0,684.0,18.0,18.0,9.0,1.2,1.1,26.0,0.0,451.0,57.0,401.0,25.0,2766.0,0.6,11.0,33.0,8.0,3.0,3.0,26.0,7.0,1.0,13.0,11.0,18.0,7.0,18.0,0.0,19.0,15.0,4.0,14.0,9.0,0.0,16.0,1.0,0.0,0.0,0.0,66.0,27.0,12.0
1,Getafe,1,2017-08-20,18:15:00,Away,Athletic Club,0,0,1.2,0.5800000000000001,0.02375,0.0,8.0,2.0,5.0,1.0,452.0,24.0,21.0,9.0,0.5,0.6000000000000001,13.0,0.0,207.0,18.0,189.0,8.0,1948.0,0.30000000000000004,7.0,18.0,3.0,2.0,0.0,14.0,6.0,1.0,15.0,15.0,34.0,19.0,30.0,0.0,12.0,11.0,1.0,12.0,7.0,1.0,15.0,1.0,0.0,0.0,0.0,50.0,12.0,27.0
0,Barcelona,1,2017-08-20,20:15:00,Home,Real Betis,2,0,0.1,1.11,0.044,1.0,15.0,2.0,2.0,0.0,778.0,15.0,12.0,9.0,1.0,0.8,24.0,1.0,608.0,49.0,431.0,27.0,3121.0,1.3,10.0,52.0,7.0,0.0,1.0,10.0,8.0,2.0,10.0,4.0,8.0,4.0,2.0,1.0,36.0,9.0,15.0,16.0,9.0,0.0,16.0,2.0,0.0,0.0,0.0,55.0,3.0,5.0
1,Real Betis,1,2017-08-20,20:15:00,Away,Barcelona,0,2,1.1,0.07,0.0,0.0,3.0,0.0,1.0,0.0,559.0,18.0,18.0,13.0,0.1,0.0,4.0,0.0,379.0,31.0,347.0,10.0,2658.0,0.2,0.0,31.0,3.0,0.0,2.0,1.0,0.0,1.0,9.0,9.0,20.0,11.0,24.0,1.0,7.0,4.0,3.0,21.0,11.0,0.0,15.0,1.0,0.0,0.0,1.0,47.0,5.0,3.0
0,Deportivo La Coruña,1,2017-08-20,22:15:00,Home,Real Madrid,0,3,2.1,1.0,0.05454545454545454,0.0,11.0,4.0,5.0,0.0,440.0,16.0,25.0,10.0,1.0,0.8999999999999999,24.0,0.0,246.0,29.0,234.0,25.0,1974.0,1.1,9.0,19.0,6.0,2.0,0.0,17.0,4.0,2.0,10.0,7.0,14.0,7.0,22.0,1.0,17.0,11.0,5.0,15.0,9.0,0.0,16.0,2.0,1.0,0.0,0.0,54.0,8.0,9.0
1,Real Madrid,1,2017-08-20,22:15:00,Away,Deportivo La Coruña,3,0,1.7,2.1,0.121875,3.0,16.0,8.0,3.0,1.0,784.0,20.0,18.0,5.0,2.2,1.8,27.0,6.0,596.0,55.0,501.0,35.0,3216.0,2.5,11.0,48.0,12.0,0.0,1.0,18.0,4.0,2.0,14.0,11.0,18.0,7.0,11.0,0.0,34.0,7.0,8.0,17.0,9.0,1.0,12.0,2.0,0.0,1.0,0.0,47.0,9.0,8.0
0,Levante,1,2017-08-21,20:15:00,Home,Villarreal,1,0,0.5,0.59,0.022307692307692306,0.0,13.0,2.0,1.0,0.0,475.0,7.0,16.0,12.0,0.7000000000000001,0.4,26.0,2.0,268.0,37.0,253.0,27.0,2041.0,0.5,11.0,25.0,7.0,0.0,0.0,29.0,11.0,2.0,7.0,1.0,4.0,3.0,15.0,0.0,26.0,14.0,10.0,10.0,10.0,0.0,18.0,2.0,1.0,0.0,0.0,50.0,14.0,17.0
1,Villarreal,1,2017-08-21,20:15:00,Away,Levante,0,1,1.4,0.47,0.04875,0.0,8.0,1.0,3.0,0.0,603.0,24.0,7.0,10.0,0.5,0.4,15.0,0.0,406.0,33.0,349.0,10.0,2594.0,0.30000000000000004,8.0,28.0,2.0,1.0,2.0,13.0,6.0,1.0,15.0,14.0,21.0,7.0,33.0,0.0,9.0,1.0,3.0,8.0,6.0,0.0,14.0,1.0,0.0,1.0,0.0,38.0,17.0,14.0
0,Málaga,1,2017-08-21,22:00:00,Home,Eibar,0,1,1.4,1.37,0.1992307692307692,1.0,13.0,6.0,3.0,0.0,525.0,14.0,16.0,10.0,1.2,1.2000000000000002,23.0,2.0,286.0,33.0,299.0,15.0,2499.0,1.6,8.0,30.0,11.0,4.0,0.0,31.0,7.0,5.0,9.0,5.0,9.0,4.0,20.0,0.0,20.0,9.0,3.0,14.0,6.0,0.0,15.0,5.0,0.0,0.0,0.0,58.0,24.0,14.0
1,Eibar,1,2017-08-21,22:00:00,Away,Málaga,1,0,0.9,0.8300000000000001,0.06888888888888889,0.0,10.0,4.0,2.0,0.0,623.0,15.0,21.0,9.0,1.0,0.9,15.0,0.0,381.0,46.0,337.0,11.0,2756.0,0.2,7.0,19.0,7.0,3.0,1.0,18.0,3.0,2.0,8.0,9.0,21.0,12.0,38.0,0.0,14.0,5.0,3.0,8.0,9.0,0.0,16.0,2.0,0.0,0.0,0.0,47.0,14.0,24.0
0,Real Sociedad,2,2017-08-25,20:15:00,Home,Villarreal,3,0,0.2,2.21,0.175,2.0,15.0,9.0,2.0,0.0,632.0,11.0,10.0,6.0,2.0,1.2,26.0,5.0,455.0,49.0,375.0,32.0,3078.0,1.1,10.0,38.0,14.0,4.0,1.0,27.0,9.0,2.0,7.0,5.0,13.0,8.0,19.0,0.0,37.0,5.0,11.0,19.0,11.0,0.0,12.0,2.0,0.0,0.0,0.0,47.0,19.0,15.0
1,Villarreal,2,2017-08-25,20:15:00,Away,Real Sociedad,0,3,2.0,0.21,0.011666666666666667,0.0,6.0,1.0,2.0,0.0,449.0,16.0,14.0,9.0,0.1,0.0,10.0,0.0,273.0,27.0,268.0,14.0,1795.0,0.0,4.0,16.0,0.0,0.0,0.0,16.0,4.0,2.0,12.0,5.0,10.0,5.0,23.0,1.0,6.0,5.0,2.0,11.0,6.0,0.0,22.0,2.0,0.0,0.0,0.0,39.0,15.0,19.0
0,Real Betis,2,2017-08-25,22:00:00,Home,Celta Vigo,2,1,0.3,1.6,0.144,2.0,10.0,3.0,2.0,0.0,519.0,18.0,12.0,7.0,1.6,1.7,20.0,4.0,342.0,36.0,326.0,22.0,2191.0,1.2,9.0,26.0,7.0,4.0,0.0,19.0,4.0,1.0,12.0,4.0,13.0,9.0,22.0,0.0,15.0,4.0,4.0,17.0,8.0,0.0,13.0,1.0,0.0,0.0,1.0,40.0,14.0,16.0
1,Celta Vigo,2,2017-08-25,22:00:00,Away,Real Betis,1,2,1.6,0.23,0.02625,0.0,9.0,1.0,2.0,0.0,571.0,12.0,5.0,1.0,0.2,0.2,17.0,0.0,414.0,41.0,428.0,14.0,2553.0,0.4,7.0,28.0,9.0,3.0,2.0,18.0,6.0,2.0,7.0,4.0,13.0,9.0,12.0,0.0,12.0,4.0,3.0,12.0,14.0,0.0,9.0,2.0,0.0,0.0,0.0,41.0,16.0,14.0
